date,channel,product,region,orders,revenue,customers,conversion_rate
2025-09-19,Email,Gadgets,South,60,6044.83,44,0.0586
2025-12-07,Paid Search,Gadgets,East,93,16334.81,68,0.0462
2025-11-28,Paid Search,Gizmos,South,123,15733.12,74,0.0651
2025-11-23,Organic,Gadgets,West,106,15939.02,79,0.0426
2025-06-13,Direct,Widgets,East,37,4789.24,28,0.0437
2025-08-12,Social,Widgets,North,53,6216.44,36,0.0289
2025-06-21,Paid Search,Gadgets,West,70,6694.48,40,0.0539
2025-09-15,Direct,Gizmos,East,44,4154.56,25,0.03
2025-12-23,Organic,Widgets,East,174,26614.38,101,0.042
2025-09-25,Paid Search,Gadgets,East,77,7677.45,55,0.0446
2025-10-29,Organic,Widgets,East,91,14113.54,61,0.0419
2025-08-08,Email,Gizmos,East,56,8735.1,34,0.0742
2025-01-19,Direct,Sprockets,West,19,1270.16,13,0.0373
2025-06-26,Social,Widgets,West,75,5637.88,57,0.0255
2025-05-07,Social,Widgets,North,70,9980.47,45,0.0393
2025-04-19,Email,Gadgets,East,33,1664.97,21,0.0554
2025-09-02,Paid Search,Gizmos,North,88,8829.34,66,0.0529
2025-05-14,Direct,Sprockets,North,42,3832.63,29,0.0395
2025-12-19,Organic,Sprockets,South,152,16655.45,99,0.048
2025-07-28,Paid Search,Widgets,North,86,8858.95,62,0.0658
2025-03-06,Email,Widgets,South,48,4654.98,38,0.042
2025-05-30,Email,Widgets,North,50,2685.84,34,0.0297
2025-08-18,Direct,Widgets,North,28,1993.62,17,0.0351
2025-02-03,Direct,Gizmos,North,33,3106.39,25,0.0503
2025-09-27,Paid Search,Sprockets,East,63,10410.34,44,0.0545
2025-03-19,Organic,Gizmos,West,115,6507.09,91,0.0539
2025-08-06,Social,Widgets,West,73,10013.19,40,0.0321
2025-04-16,Email,Gadgets,North,50,5464.72,30,0.0599
2025-05-14,Organic,Widgets,South,118,16689.78,83,0.0293
2025-09-08,Paid Search,Gadgets,North,116,19543.78,70,0.0538
2025-12-19,Social,Widgets,South,87,6395.12,57,0.042
2025-08-18,Email,Sprockets,South,59,7430.26,46,0.0532
2025-03-14,Social,Widgets,West,44,3275.09,31,0.0477
2025-07-29,Social,Gadgets,West,56,3577.24,40,0.0286
2025-10-10,Organic,Sprockets,South,140,10866.57,86,0.0413
2025-05-28,Social,Sprockets,North,71,9980.44,53,0.0348
2025-05-20,Paid Search,Widgets,East,62,6875.3,36,0.0675
2025-01-11,Direct,Gadgets,East,15,1138.74,11,0.0437
2025-11-08,Organic,Widgets,West,98,17050.89,78,0.0422
2025-04-17,Social,Widgets,South,65,5877.44,51,0.0459
2025-08-22,Social,Gizmos,East,74,9161.73,49,0.0399
2025-06-20,Email,Gizmos,South,52,5294.75,34,0.0457
2025-03-04,Organic,Gadgets,West,105,6838.03,81,0.0586
2025-01-04,Paid Search,Sprockets,East,52,4953.84,29,0.059
2025-01-26,Email,Sprockets,North,23,1161.31,16,0.0824
2025-10-10,Direct,Gizmos,West,36,5016.9,24,0.0487
2025-11-13,Email,Gizmos,West,60,4593.49,45,0.0322
2025-09-25,Direct,Widgets,West,43,6433.96,28,0.0593
2025-12-14,Direct,Sprockets,South,37,4142.62,20,0.0565
2025-10-14,Paid Search,Gizmos,West,113,13401.15,72,0.0532
2025-07-20,Email,Sprockets,South,49,6904.48,33,0.064
2025-09-26,Email,Gizmos,West,57,8531.31,34,0.0502
2025-07-29,Email,Gadgets,South,55,6797.26,33,0.0869
2025-08-03,Direct,Widgets,East,25,2676.8,16,0.0441
2025-04-26,Organic,Gizmos,West,68,4111.11,44,0.0492
2025-02-23,Organic,Widgets,South,94,10278.05,60,0.0596
2025-02-20,Direct,Widgets,West,27,3414.31,15,0.0169
2025-01-24,Email,Gadgets,East,49,2985.26,37,0.05
2025-10-20,Social,Widgets,North,65,8207.78,37,0.0303
2025-10-21,Paid Search,Gadgets,East,103,17840.65,81,0.0526
2025-04-10,Email,Widgets,North,43,4677.8,32,0.0449
2025-05-31,Paid Search,Widgets,North,58,3989.56,42,0.0259
2025-01-08,Direct,Gizmos,West,31,2655.91,19,0.0571
2025-11-22,Paid Search,Gizmos,West,84,10144.77,63,0.0645
